authorName,authorID,firstname,surname
Richard J. Murnane,10706,Richard,Murnane
Ricardo Correa,10707,Ricardo,Correa
Linda S. Goldberg,10711,Linda,Goldberg
Tara Rice,10709,Tara,Rice
Claudia M. Buch,10710,Claudia,Buch
Morris A. Davis,10712,Morris,Davis
Samuel G. Hanson,10714,Samuel,Hanson
Jeremy C. Stein,10716,Jeremy,Stein
Robert W. Vishny,10717,Robert,Vishny
Juan Carlos Suárez Serrato,10857,Juan,Serrato
Owen Zidar,10719,Owen,Zidar
Raj Chetty,10720,Raj,Chetty
Emmanuel Saez,10721,Emmanuel,Saez
László Sándor,10722,László,Sándor
Edward L. Glaeser,10723,Edward,Glaeser
Joshua D. Gottlieb,10724,Joshua,Gottlieb
Oren Ziv,10725,Oren,Ziv
Keith M. Drake,10726,Keith,Drake
Martha A. Starr,10727,Martha,Starr
Christopher Gedge,10729,Christopher,Gedge
James W. Roberts,10730,James,Roberts
Andrew Sweeting,10731,Andrew,Sweeting
Rui C. Mano,10732,Rui,Mano
Bart J. Bronnenberg,10733,Bart,Bronnenberg
Jean-Pierre Dubé,10734,Jean-Pierre,Dubé
Matthew Gentzkow,10735,Matthew,Gentzkow
Jesse M. Shapiro,10736,Jesse,Shapiro
Kevin Haninger,10737,Kevin,Haninger
Lala Ma,10738,Lala,Ma
Christopher Timmins,10739,Christopher,Timmins
David Boisclair,10740,David,Boisclair
Pierre-Carl Michaud,10742,Pierre-Carl,Michaud
Lorenz Kueng,10743,Lorenz,Kueng
Evgeny Yakovlev,10744,Evgeny,Yakovlev
Karthik Muralidharan,10745,Karthik,Muralidharan
Jishnu Das,10746,Jishnu,Das
Alaka Holla,10747,Alaka,Holla
Aakash Mohpal,10748,Aakash,Mohpal
Alex Edmans,10749,Alex,Edmans
Lucius Li,10750,Lucius,Li
Chendi Zhang,10751,Chendi,Zhang
Philippe Aghion,10752,Philippe,Aghion
Matthew Jackson,10753,Matthew,Jackson
David I. Levine,10754,David,Levine
Dongho Song,10756,Dongho,Song
Amir Yaron,10757,Amir,Yaron
Orazio Attanasio,10758,Orazio,Attanasio
Britta Augsburg,10759,Britta,Augsburg
René Böheim,10760,René,Böheim
Thomas Leoni,10761,Thomas,Leoni
Florian Heiss,10762,Florian,Heiss
Steven F. Venti,10763,Steven,Venti
Guido Matias Cortes,10765,Guido,Cortes
Nir Jaimovich,10766,Nir,Jaimovich
Christopher J. Nekarda,10767,Christopher,Nekarda
Henry E. Siu,10768,Henry,Siu
Diane Whitmore Schanzenbach,10769,Diane,Schanzenbach
Mary Zaki,10770,Mary,Zaki
Emily Breza,10771,Emily,Breza
Justin Murfin,10774,Justin,Murfin
Mitchell Petersen,10775,Mitchell,Petersen
Brian G. Knight,10776,Brian,Knight
Francine Lafontaine,10780,Francine,Lafontaine
Kathryn Shaw,10781,Kathryn,Shaw
Brianna Cardiff-Hicks,10779,Brianna,Cardiff-Hicks
Seunghoon Na,10782,Seunghoon,Na
Stephanie Schmitt-Grohé,10783,Stephanie,Schmitt-Grohé
Martin Uribe,10784,Martin,Uribe
Vivian Z. Yue,10785,Vivian,Yue
Sylvain Chassang,10786,Sylvain,Chassang
Gerard Padró i Miquel,10787,Gerard,Miquel
Ugo Panizza,10788,Ugo,Panizza
Hanming Fang,10789,Hanming,Fang
Quanlin Gu,10790,Quanlin,Gu
Li-An Zhou,10791,Li-An,Zhou
Brigitte C. Madrian,10792,Brigitte,Madrian
David Backus,10793,David,Backus
Axelle Ferriere,10794,Axelle,Ferriere
Stanley Zin,10795,Stanley,Zin
David Bradford,10796,David,Bradford
Charles Courtemanche,10797,Charles,Courtemanche
Garth Heutel,10798,Garth,Heutel
Patrick McAlvanah,10799,Patrick,McAlvanah
Christopher Ruhm,10800,Christopher,Ruhm
Thomas Ahn,10801,Thomas,Ahn
Jacob L. Vigdor,10802,Jacob,Vigdor
Lauren Cohen,10803,Lauren,Cohen
Umit Gurun,10804,Umit,Gurun
Scott Duke Kominers,10805,Scott,Kominers
Haichao Fan,10806,Haichao,Fan
Yao Amber Li,10807,Yao,Li
Stephen R. Yeaple,10808,Stephen,Yeaple
Alan S. Blinder,10809,Alan,Blinder
Mark W. Watson,10810,Mark,Watson
Alberto Abadie,10811,Alberto,Abadie
Susan Athey,10812,Susan,Athey
Guido W. Imbens,10813,Guido,Imbens
Jeffrey M. Wooldridge,10814,Jeffrey,Wooldridge
Roberto Bonfatti,10815,Roberto,Bonfatti
Kevin Hjortshøj O'Rourke,10816,Kevin,O'Rourke
Kenneth Lee,10817,Kenneth,Lee
Eric Brewer,10818,Eric,Brewer
Carson Christiano,10819,Carson,Christiano
Francis Meyo,10820,Francis,Meyo
Edward Miguel,10821,Edward,Miguel
Matthew Podolsky,10822,Matthew,Podolsky
Javier Rosa,10823,Javier,Rosa
Catherine Wolfram,10824,Catherine,Wolfram
YiLi Chien,10825,YiLi,Chien
Harold L. Cole,10826,Harold,Cole
Judith Scott-Clayton,10828,Judith,Scott-Clayton
Veronica Minaya,10829,Veronica,Minaya
Mark Egan,10830,Mark,Egan
Tomas J. Philipson,10831,Tomas,Philipson
Pablo D. Fajgelbaum,10832,Pablo,Fajgelbaum
Amit K. Khandelwal,10833,Amit,Khandelwal
D. Mark Anderson,10834,D.,Anderson
Daniel I. Rees,10836,Daniel,Rees
Don Fullerton,10837,Don,Fullerton
Li Gan,10838,Li,Gan
Miwa Hattori,10839,Miwa,Hattori
Daniel H. Karney,10840,Daniel,Karney
Alan Moreira,10841,Alan,Moreira
Tatiana Didier,10843,Tatiana,Didier
Ross Levine,10844,Ross,Levine
Sergio L. Schmukler,10845,Sergio,Schmukler
Michael D. Frakes,10846,Michael,Frakes
Melissa F. Wasserman,10847,Melissa,Wasserman
Martin Ravallion,10848,Martin,Ravallion
Jens Hilscher,10849,Jens,Hilscher
Alon Raviv,10850,Alon,Raviv
Ricardo Reis,10851,Ricardo,Reis
Joel M. David,10852,Joel,David
Hugo A. Hopenhayn,10853,Hugo,Hopenhayn
Venky Venkateswaran,10854,Venky,Venkateswaran
Bryan S. Graham,10855,Bryan,Graham
Charles E. Gibbons,10856,Charles,Gibbons
Michael B. Urbancic,10858,Michael,Urbancic
Eric J. Allen,10859,Eric,Allen
Patricia M. Dechow,10860,Patricia,Dechow
Devin G. Pope,10861,Devin,Pope
George Wu,10862,George,Wu
Sean Lewis-Faupel,10863,Sean,Lewis-Faupel
Yusuf Neggers,10864,Yusuf,Neggers
Benjamin A. Olken,10865,Benjamin,Olken
Rohini Pande,10866,Rohini,Pande
Gian Luca Clementi,10867,Gian,Clementi
Piero Gottardi,10868,Piero,Gottardi
Helios Herrera,10869,Helios,Herrera
Guillermo Ordoñez,10870,Guillermo,Ordoñez
Christoph Trebesch,10871,Christoph,Trebesch
Christopher A. Parsons,10882,Christopher,Parsons
Johan Sulaeman,10873,Johan,Sulaeman
Sheridan Titman,10883,Sheridan,Titman
Alan C. Monheit,10875,Alan,Monheit
Irina Grafova,10876,Irina,Grafova
Rizie Kumar,10877,Rizie,Kumar
Mark Hoekstra,10878,Mark,Hoekstra
Steven L. Puller,10879,Steven,Puller
Jeremy West,10880,Jeremy,West
Casey Dougal,10881,Casey,Dougal
Nathaniel Hendren,10884,Nathaniel,Hendren
Solomon M. Hsiang,10885,Solomon,Hsiang
Amir S. Jina,10886,Amir,Jina
Joanne W. Hsu,10887,Joanne,Hsu
David A. Matsa,10888,David,Matsa
Brian T. Melzer,10889,Brian,Melzer
Gabriel M. Ahlfeldt,10890,Gabriel,Ahlfeldt
Daniel M. Sturm,10892,Daniel,Sturm
Nikolaus Wolf,10893,Nikolaus,Wolf
James D. Hamilton,10894,James,Hamilton
Raluca E. Dragusanu,10895,Raluca,Dragusanu
Daniele Giovannucci,10896,Daniele,Giovannucci
Nathan Nunn,10897,Nathan,Nunn
Ramana Nanda,10898,Ramana,Nanda
Matthew Rhodes-Kropf,10899,Matthew,Rhodes-Kropf
Michael Geruso,10900,Michael,Geruso
Thomas G. McGuire,10901,Thomas,McGuire
Danny Yagan,10902,Danny,Yagan
Anita Castledine,10903,Anita,Castledine
Klaus Moeltner,10904,Klaus,Moeltner
Shawn Stoddard,10906,Shawn,Stoddard
Jessica Wolpaw Reyes,10907,Jessica,Reyes
Gerald Carlino,10908,Gerald,Carlino
Janet Currie,10910,Janet,Currie
Hannes Schwandt,10911,Hannes,Schwandt
Oliver D. Bunn,10913,Oliver,Bunn
Robert J. Shiller,10914,Robert,Shiller
Melissa A. Boyle,10915,Melissa,Boyle
Francis A. Longstaff,10917,Francis,Longstaff
Ilya A. Strebulaev,10918,Ilya,Strebulaev
Jesse Margolis,10919,Jesse,Margolis
Michael Grossman,10921,Michael,Grossman
Shin-Yi Chou,10922,Shin-Yi,Chou
Marinho Bertanha,10923,Marinho,Bertanha
Petra Moser,10924,Petra,Moser
Mercedes Delgado,10925,Mercedes,Delgado
Michael E. Porter,10926,Michael,Porter
Scott Stern,10927,Scott,Stern
Anirban Basu,10928,Anirban,Basu
Jianjun Miao,10929,Jianjun,Miao
Tao Zha,10959,Tao,Zha
Judd B. Kessler,10932,Judd,Kessler
Alvin E. Roth,10933,Alvin,Roth
Peter Cappelli,10934,Peter,Cappelli
Rachel Heath,10935,Rachel,Heath
Byungkyu Lee,10937,Byungkyu,Lee
Dalton Conley,10938,Dalton,Conley
Hannah Trachtman,10939,Hannah,Trachtman
Andrew Steinkruger,10940,Andrew,Steinkruger
Mackenzie Wood,10941,Mackenzie,Wood
Adam Wooster,10942,Adam,Wooster
James J. Murphy,10944,James,Murphy
Justin M. Rao,10945,Justin,Rao
Yin-Wong Cheung,10946,Yin-Wong,Cheung
Hiro Ito,10947,Hiro,Ito
Lori Beaman,10948,Lori,Beaman
Bram Thuysbaert,10950,Bram,Thuysbaert
Christopher Udry,10951,Christopher,Udry
Yaw Nyarko,10952,Yaw,Nyarko
Shing-Yi Wang,10953,Shing-Yi,Wang
Sheila M. Olmstead,10954,Sheila,Olmstead
Hilary Sigman,10955,Hilary,Sigman
